ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição
21,simple,,"Puxa Saco Em MDF Com Formato De Casinha",1,0,visible,"<h6><strong>Puxa Saco Em MDF Com Formato De Casinha</strong></h6>
\nOs Puxa sacos porta sacolas, são feitos em madeira MDF e pintados à mão.Possuem estampas decorativas que deixa uma impressão de que o produto é uma verdadeira casinha. Nossos puxa ...","<h2><strong>Puxa Saco Em MDF Com Formato De Casinha</strong></h2>
\n<ul>
\n 	<li>Os Puxa sacos porta sacolas, são feitos em madeira MDF e pintados à mão.</li>
\n 	<li>Possuem estampas decorativas que deixa uma impressão de que o produto é uma verdadeira casinha.</li>
\n 	<li>Nossos puxa sacos são feitos com materiais de alta qualidade, madeira MDF de 3mm e tampa removível para que suas sacolas sejam colocadas pela parte de cima, e um furo na parte de baixo para que as sacolas sejam retiradas.</li>
\n 	<li>Ele é um produto muito útil para que você organize com facilidade suas sacolas que podem estar se acumulando, e também, poderá servir de objeto decorativo, já que por se tratar de um item exclusivo e artesanal, não é encontrado em lojas físicas.</li>
\n</ul>
\n<strong>Especificações do produto</strong>
\n<ul>
\n 	<li>Altura: 30,00 cm.</li>
\n 	<li>Largura: 12,00 cm.</li>
\n 	<li>Comprimento: 12,00 cm.</li>
\n 	<li>Cor: Branco.</li>
\n 	<li>Modelo: Casinha.</li>
\n 	<li>Material: Madeira MDF.</li>
\n</ul>
\n<img class=""alignleft wp-image-23"" title=""Puxa Saco Em MDF Com Formato De Casinha"" src=""http://localhost/fazendoArte/Fazendo-Arte/wp-content/uploads/2023/03/puxa-saco1.jpg"" alt=""Puxa Saco Em MDF Com Formato De Casinha"" width=""150"" height=""150"" />",,,taxable,,1,,,0,0,1500,12,12,30,1,,,55,"Puxa Sacos","Puxa Saco Em MDF Com Formato De Casinha",,http://localhost/fazendoArte/Fazendo-Arte/wp-content/uploads/2023/03/puxa-saco1.jpg,,,,,,,,,0
25,simple,,"Puxa Saco Casinha Branco Com Telhado Imbuia 19,5x17x29,5 Mdf",1,0,visible,"<h6 class=""ui-pdp-title"">Puxa Saco Casinha Branco Com Telhado Imbuia 19,5x17x29,5 Mdf</h6>
\nGuarde as sacolinhas plásticas com estilo e elegância neste Lindo Puxa Saco Decoração Modelo Casinha em Mdf Pintado nas Cores Branca e Telhado Imbuia, pode ser utilizada no dia-dia do lar ...","<h2 class=""ui-pdp-title""><strong>Puxa Saco Casinha Branco Com Telhado Imbuia 19,5x17x29,5 Mdf</strong></h2>
\n<ul>
\n 	<li>Guarde as sacolinhas plásticas com estilo e elegância neste Lindo Puxa Saco Decoração Modelo Casinha em Mdf Pintado nas Cores Branca e Telhado Imbuia, pode ser utilizada no dia-dia do lar ou na decoração de ambientes e cozinha.</li>
\n 	<li>Medidas em centímetros: 19,5 Comprimento x 17 Largura x 29,5 Altura.</li>
\n 	<li>Produto em Madeira MDF Pintado, desenvolvida de forma artesanal, com ótimo acabamento e pronto para utilização em trabalhos e decoração.</li>
\n 	<li>Toda a linha de produtos em Madeira MDF tem garantia de uma compra ecologicamente correta, são provenientes de fornecedores certificados com o selo FSC (Forest Stewardship Council ou Conselho Brasileiro de Manejo Florestal) e é um produto proveniente de madeira de reflorestamento.</li>
\n</ul>
\n<img class=""alignnone wp-image-26"" title=""Puxa Saco Casinha Branco Com Telhado Imbuia 19,5x17x29,5 Mdf"" src=""http://localhost/fazendoArte/Fazendo-Arte/wp-content/uploads/2023/03/puxa-saco2.jpg"" alt=""Puxa Saco Casinha Branco Com Telhado Imbuia 19,5x17x29,5 Mdf"" width=""150"" height=""150"" />",,,taxable,,1,,,0,0,200,30,17,20,1,,,"56,21","Puxa Sacos","Puxa Saco Casinha Branco Com Telhado Imbuia 19",,http://localhost/fazendoArte/Fazendo-Arte/wp-content/uploads/2023/03/puxa-saco2.jpg,,,,,,id:21,,,0
27,simple,,"Bolacha Tronco Madeira Rústica",1,0,visible,"<h6><strong>Bolacha Tronco Madeira Rústica</strong></h6>
\nBolacha tronco bandeja com pé de ferro. Linda peça super reforçado. Madeira maciça envelhecido pinus. Pés de ferro preto ...","<h2><strong>Bolacha Tronco Madeira Rústica</strong></h2>
\n<ul>
\n 	<li>Bolacha tronco bandeja com pé de ferro.</li>
\n 	<li>Linda peça super reforçado.</li>
\n 	<li>Madeira maciça envelhecido pinus.</li>
\n 	<li>Pés de ferro preto.</li>
\n</ul>
\n<strong>Medidas</strong>
\n<ul>
\n 	<li>28x26 tampo.</li>
\n 	<li>Altura 10 cm.</li>
\n 	<li>Linda peca use a criatividade em sua decoração.</li>
\n</ul>
